Name	Description_su	SRR6825935	SRR6825934	SRR6825939	SRR6825938	SRR6825941	SRR6825940	SRR6825933	SRR6825932	SRR6825926	SRR6825925	SRR6825930	SRR6825928
PTCHD1	na	8.20481240823106	7.91317679043278	9.12600416943164	7.87007397273113	8.56570619056558	9.02568893796779	8.91871397344474	9.48955994308087	7.84468265720828	8.81090373392351	7.85741388357655	9.16145588944653
PTCHD4	na	3.15684045326777	2.88362353657588	0	0	0	3.20546776833998	1.96477069995546	0	2.09937406471583	0	0	0
LAMA4	na	8.17876530166184	6.34957185191144	6.34903213851868	8.17674143983579	7.6685379303713	7.22947949644535	7.31067812729985	7.26769826383095	7.58152890256163	7.6331350852801	7.70350549433408	7.25957999415963
LAMA2	na	0	4.93109509855106	0	0	3.6143895501803	3.94418772129615	3.27954851369688	0	5.12711406376389	0	5.04063942153	2.33131918068063
LOC121930010	na	0	0	0	0	0	0	3.12807628772077	0	0	0	4.08381871530157	0
LOC121930011	na	1.8637724222227	0	0	0	0	0	0	0	0	0	0	0
ARRB1	na	6.43500225367074	4.63952461993305	5.88100597883039	6.30429008001687	5.75120176555963	5.84657625488237	7.59692969885603	7.18015697989401	6.15147319484801	5.29736129486716	7.44833061671497	6.56619390862857
GMPPA	na	10.8088061457806	10.9358035626375	11.0518357303756	11.4293992255021	10.7628637995621	11.1620879055612	10.5462559558756	10.5454951833418	10.7271425725918	10.8238256054119	10.2329190614697	10.4742233301025
LOC121925674	na	3.82760622445928	4.54411741400069	4.8814485926345	3.15637613616265	5.55807934710718	5.12622889056318	5.04170612006483	4.07696626765895	3.28697347432993	0	5.04063942153	4.01099904024738
LOC121921316	na	0	0	3.14654673597234	2.13504793028255	3.6143895501803	5.08312504441443	3.65695694148608	4.07696626765895	2.42768991903909	0	0	3.59571802667348
LOC121921314	na	0	0	0	0	0	3.20546776833998	2.28431930320128	0	0	0	0	2.33131918068063
LOC121925673	na	3.31825549148427	4.59260954784853	4.36725469501575	2.13504793028255	4.62171721631584	4.89654718812101	4.53979265594613	4.63314890377288	3.28697347432993	5.35044966806789	4.00166353897827	5.1813298075302
AKT1S1	na	10.8989166100791	11.0772394669629	10.8230921350314	10.4180469969213	11.0429350612946	10.710556761377	11.2606227458661	10.9790556405028	11.083711782938	10.8482554127953	10.7071897102816	11.2138482021203
LOC121921318	na	5.14219099710125	5.04001872987211	7.40009185126656	3.62157022916455	7.98264618544122	9.37525406814694	8.47652603795454	7.71194926315387	3.57903297108967	4.10553281519541	4.30546533232152	7.64102695657074
TRNAA-UGC-5	na	0	0	1.98029965338813	0	1.08727820989805	2.35395573115207	2.76702189703927	2.46890071334015	0	0	0	1.59279264457571
TRNAA-UGC-3	na	1.03972269011462	0	0	0	0	0	0	0	0	0	0	0
TRNAA-UGC-2	na	0	0	0	0	0	1.61170133000605	0	0	0	0	0	0
LOC121917447	na	3.93109092752024	4.01368852178644	3.88233341307379	0	0	0	1.55369031950029	0	0	4.22406272929024	0	2.33131918068063
LOC121917444	na	8.1602484139081	7.32643261418444	9.01264213350315	5.34267446075986	7.76120407191492	9.29488879139322	9.34736773518649	7.54677820431079	7.90524872164923	7.12472389658393	8.25768232176467	8.3867335814299
LOC121917442	na	6.51212690748938	5.63365225084465	5.49781206220353	5.59977126011149	5.55807934710718	4.68220490764021	7.21053497971127	4.98274130193465	5.68295503192038	6.6189081523242	5.46525855840578	4.65511817930199
LOC121917443	na	9.31187385606055	9.36050459611593	9.4228592885514	8.44831635176181	8.95384824568437	8.56337961886949	8.96694700620317	9.3857719932004	8.96048114928944	9.02196971945724	9.62645336893038	8.82548456807264
LOC121917440	na	6.78500981383752	7.0156690564066	7.06133082230636	6.94404574813424	5.41328734428081	6.94648708443078	6.55324084346718	7.30955429761896	6.81631764056037	8.22990953555893	5.52529777932232	6.9658314359793
LOC121917441	na	5.8583528718637	0	2.30090477737476	3.48253229470917	0	0	0	0	5.93615014933495	2.78578005868393	0	0
LOC121929120	na	3.23980427354102	1.76235103477588	0	0	2.72762433623644	0	2.95881459603151	0	0	0	4.16154650214514	3.47009858374504
LOC121929124	na	0	0	0	0	0	0	0	3.1600135786771	0	2.78578005868393	0	0
LOC121917448	na	4.90859160625741	3.4019063205778	0	1.70561441737461	4.62171721631584	0	0	3.86875130801728	3.28697347432993	5.12526084971498	0	1.59279264457571
LOC121917449	na	5.7061955011297	4.21296133971857	4.97450267772604	4.33801529915791	7.07513296771037	4.56177355318719	4.76190005284364	5.60378321250607	4.51737406713524	3.67719180876177	4.43632059719834	4.76618411518551
MED9	na	8.26547124706841	8.47850987372879	8.27296499571175	7.49827808347059	7.79081569536911	6.95846243864655	8.5152030596754	7.61513204610549	7.26969645077202	6.74321529885411	8.37245642285196	7.83822636137675
MED8	na	8.54168915083063	9.05348786745088	8.49338127985575	8.53443663179328	7.82699547204751	8.56337961886949	8.96973464455491	8.41454291894904	8.68528941242829	8.43430159143738	8.42855811497149	8.77325365224947
MED7	na	8.71662537102596	8.25194704087822	8.59944873851053	7.25297223718994	8.53541354991014	8.12724273481441	8.80156074093355	8.5073880432083	8.89561734522318	7.75627301929979	9.5161161599648	8.77325365224947
